BTPBH,Paro
CMKOB,Koutaba
CMKBI,Kribi
CMKUM,Kumba
CMKYE,Kye-Ossi
CMLIM,Limbe
CMLIT,Limboh Terminal
CMMMF,Mamfe
CMMVR,Maroua
CMMSG,Massongo Terminal
CMMBA,Mbalmayo
CMMGA,Meiganga
CMMOR,Mora
CMMOU,Moudi Terminal
CMNDP,Ndop
CMNGE,Ngaoundéré
CMNKS,Nkongsamba
CMTKC,Tiko
CMVIC,Victoria
CMGXX,Yagoua
CMYAO,Yaoundé
LOCODE,Name
AOAZZ,Ambriz
AOANL,Andulo
AOARO,Armada Olombendo FPSO
AOBAB,Baba
AOBDT,Baía dos Tigres
AOBDD,Barra do Dande
AOBEL,Belas
AOBUG,Benguela
AOCAB,Cabinda
AOCFF,Cafunfo
AOCNZ,Cangamba
AOKNP,Capanda
AOCPO,Capulo
AOCBT,Catumbela
AOCAV,Cazombo
AOPGI,Chitato
AOCLV,CLOV FPSO
AOCUI,Cuio
AOCTI,Cuito Cuanavale
AODAL,Dalia
AODRC,Dirico
AODGR,Dombe Grande
AODUE,Dundo
AOETN,Essungo Terminal
AOFBY,Farta Bay
AOFLT,Futila Terminal
AOGIM,Gimboa
AOGIR,Girassol Terminal
AOGPO,Greater Plutonio
AONOV,Huambo
AOJMB,Jamba
AOKTI,Kiame Terminal
AOSVP,Kuito
AOKOT,Kuito Terminal
AOLAA,Landana (Cacongo)
AOLIE,Lieura
AOLOB,Lobito
AOLBT,Lombo Terminal
AOLAD,Luanda
AOUAL,Luau
AOSDD,Lubango
AOLUC,Lucira
AOLUO,Luena
AOLBZ,Lukapa
AOGGC,Lumbala
AOLZM,Luzamba
AOMEG,Malange
AOMLO,Malembo
AOMAL,Malongo
AOMDZ,Maquela Do Zombo
AOMTL,Matala
AOSSY,M'banza Congo
AOSPP,Menongue
AOMOS,Mocamedes
AOMSZ,Namibe
AONDF,N'dalatando
AOGXG,Negage
AONQI,Nóqui
AO,Novo Redondo = Sumbe
AONRQ,N'Riquinha
AONZA,Nzagi
AOARZ,N'Zeto
AONTO,N'Zeto (Ambrizete)
AONGV,Ondjiva
AOVPE,Ongiva
AOPAT,Palanca Terminal
AOPAZ,Pazflor FPSO
AOPLE,Porto Alexandre (Tombua)
AOPBN,Porto Amboim
AOPSA,Porto Saco (Portosalazar)
AORSN,River Sao Nicolau
